plan_id,tier_code,tier_slug,age_band_raw,age_start,age_end,age_open_ended,premium_total_raw,premium_total_min,premium_total_max,premium_excl_mshl_raw,premium_excl_mshl_min,premium_excl_mshl_max,annual_change_raw,annual_change_min_pct,annual_change_max_pct,premium_available,availability_note,source_kind,source_pdf,source_page,source_table,source_slug,repair_flags
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,51 to 60,51,60.0,False,967 - 991,967.0,991.0,152 - 176,152.0,176.0,10.4% to 13.3%,10.4,13.3,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,51 to 60,51,60.0,False,1005 - 1045,1005.0,1045.0,190 - 230,190.0,230.0,6.4%,6.4,6.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,61 to 65,61,65.0,False,"1,281",1281.0,1281.0,242,242.0,242.0,7.3% to 7.3%,7.3,7.3,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,61 to 65,61,65.0,False,"1,381",1381.0,1381.0,342,342.0,342.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,66 to 70,66,70.0,False,"1,557",1557.0,1557.0,436,436.0,436.0,4.9%,4.9,4.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,66 to 70,66,70.0,False,"1,634",1634.0,1634.0,513,513.0,513.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,71 to 73,71,73.0,False,"1,895",1895.0,1895.0,678,678.0,678.0,6.8%,6.8,6.8,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,71 to 73,71,73.0,False,"1,987",1987.0,1987.0,770,770.0,770.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,74 to 75,74,75.0,False,"2,148",2148.0,2148.0,803,803.0,803.0,6.8%,6.8,6.8,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,74 to 75,74,75.0,False,"2,309",2309.0,2309.0,964,964.0,964.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,76 to 78,76,78.0,False,"2,489",2489.0,2489.0,930,930.0,930.0,5.6%,5.6,5.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,76 to 78,76,78.0,False,"2,725",2725.0,2725.0,"1,166",1166.0,1166.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,79 to 80,79,80.0,False,"2,611",2611.0,2611.0,991,991.0,991.0,5.6%,5.6,5.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,79 to 80,79,80.0,False,"2,912",2912.0,2912.0,"1,292",1292.0,1292.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,81 to 83,81,83.0,False,"2,778",2778.0,2778.0,"1,072",1072.0,1072.0,5.6%,5.6,5.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,81 to 83,81,83.0,False,"3,143",3143.0,3143.0,"1,437",1437.0,1437.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,84 to 85,84,85.0,False,"3,298",3298.0,3298.0,"1,327",1327.0,1327.0,7.3%,7.3,7.3,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,84 to 85,84,85.0,False,"3,523",3523.0,3523.0,"1,552",1552.0,1552.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,86 to 90,86,90.0,False,"3,635 - 3,795",3635.0,3795.0,"1,572 - 1,732",1572.0,1732.0,7.0% to 7.9%,7.0,7.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,86 to 90,86,90.0,False,"3,907 - 4,078",3907.0,4078.0,"1,844 - 2,015",1844.0,2015.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,Premiums above age 90,91,,True,"3,964 - 4,527",3964.0,4527.0,"1,871 - 2,434",1871.0,2434.0,6.3% to 7.9%,6.3,7.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,Premiums above age 90,91,,True,"4,294 - 5,029",4294.0,5029.0,"2,201 - 2,936",2201.0,2936.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
