plan_id,tier_code,tier_slug,section_raw,benefit_raw,notes_raw,coverage_value_raw,is_blank_value,section_norm,benefit_norm,search_text_norm,source_pdf,source_page,source_table,source_slug,repair_flags
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment,,"200 - 9,600 per month, depending on cancer drug treatment* (* Refer to the Cancer Drug List on the MOH website for the applicable claim limit)",False,outpatient treatment patients receiving treatment for one primary cancer,cancer drug treatment,outpatient treatment patients receiving treatment for one primary cancer cancer drug treatment 200 9 600 per month depending on cancer drug treatment refer to the cancer drug list on the moh website for the applicable claim limit,01_basic.pdf,2,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment,,3x MediShield Life limit/mth,False,outpatient treatment patients receiving treatment for one primary cancer,cancer drug treatment,outpatient treatment patients receiving treatment for one primary cancer cancer drug treatment 3x medishield life limit mth,01_basic.pdf,2,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment,,3x MediShield Life limit/mth,False,outpatient treatment patients receiving treatment for one primary cancer,cancer drug treatment,outpatient treatment patients receiving treatment for one primary cancer cancer drug treatment 3x medishield life limit mth,01_basic.pdf,2,1,basic,
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"3,600/yr",False,outpatient treatment patients receiving treatment for one primary cancer,cancer drug services,outpatient treatment patients receiving treatment for one primary cancer cancer drug services 3 600 yr,01_basic.pdf,2,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"3x MediShield Life limit/yr (10,800/yr)",False,outpatient treatment patients receiving treatment for one primary cancer,cancer drug services,outpatient treatment patients receiving treatment for one primary cancer cancer drug services 3x medishield life limit yr 10 800 yr,01_basic.pdf,2,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"3x MediShield Life limit/yr (10,800/yr)",False,outpatient treatment patients receiving treatment for one primary cancer,cancer drug services,outpatient treatment patients receiving treatment for one primary cancer cancer drug services 3x medishield life limit yr 10 800 yr,01_basic.pdf,2,1,basic,
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Treatment,,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers,cancer drug treatment,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers cancer drug treatment sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,01_basic.pdf,2,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Treatment,,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers,cancer drug treatment,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers cancer drug treatment sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,01_basic.pdf,2,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Treatment,,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers,cancer drug treatment,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers cancer drug treatment sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,01_basic.pdf,2,1,basic,
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Services,,"7,200/yr",False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers,cancer drug services,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers cancer drug services 7 200 yr,01_basic.pdf,2,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Services,,"3x MediShield Life limit for multiple primary cancers (21,600/yr)",False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers,cancer drug services,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers cancer drug services 3x medishield life limit for multiple primary cancers 21 600 yr,01_basic.pdf,2,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Services,,"3x MediShield Life limit for multiple primary cancers (21,600/yr)",False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers,cancer drug services,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers cancer drug services 3x medishield life limit for multiple primary cancers 21 600 yr,01_basic.pdf,2,1,basic,
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- External (except Hemi-Body),,300/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,external except hemi body,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer external except hemi body 300 treatment,01_basic.pdf,2,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- External (except Hemi-Body),,250/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,external except hemi body,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer external except hemi body 250 treatment,01_basic.pdf,2,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- External (except Hemi-Body),,As Charged,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,external except hemi body,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer external except hemi body as charged,01_basic.pdf,2,1,basic,
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Brachytherapy,,500/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,brachytherapy,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer brachytherapy 500 treatment,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Brachytherapy,,500/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,brachytherapy,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer brachytherapy 500 treatment,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Brachytherapy,,As Charged,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,brachytherapy,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer brachytherapy as charged,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Hemi-Body,,900/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,hemi body,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer hemi body 900 treatment,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Hemi-Body,,-,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,hemi body,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer hemi body,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Hemi-Body,,As Charged,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,hemi body,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer hemi body as charged,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
